"Year","Age","sex","Incidence"
1990,1,1,0.00012
1990,1,2,6.13e-05
1990,2,1,0.000114
1990,2,2,5.92e-05
1990,3,1,0.000108
1990,3,2,5.72e-05
1990,4,1,0.000102
1990,4,2,5.52e-05
1990,5,1,9.59e-05
1990,5,2,5.32e-05
1990,6,1,9.98e-05
1990,6,2,5.79e-05
1990,7,1,0.000104
1990,7,2,6.26e-05
1990,8,1,0.000108
1990,8,2,6.74e-05
1990,9,1,0.000112
1990,9,2,7.21e-05
1990,10,1,0.000116
1990,10,2,7.68e-05
1990,11,1,0.000129
1990,11,2,8.81e-05
1990,12,1,0.000142
1990,12,2,9.93e-05
1990,13,1,0.000156
1990,13,2,0.000111
1990,14,1,0.000169
1990,14,2,0.000122
1990,15,1,0.000182
1990,15,2,0.000133
1990,16,1,0.000208
1990,16,2,0.000156
1990,17,1,0.000233
1990,17,2,0.000179
1990,18,1,0.000259
1990,18,2,0.000203
1990,19,1,0.000285
1990,19,2,0.000226
1990,20,1,0.00031
1990,20,2,0.000249
1990,21,1,0.000348
1990,21,2,0.000284
1990,22,1,0.000386
1990,22,2,0.000319
1990,23,1,0.000424
1990,23,2,0.000355
1990,24,1,0.000462
1990,24,2,0.00039
1990,25,1,5e-04
1990,25,2,0.000425
1990,26,1,7e-04
1990,26,2,0.000613
1990,27,1,0.000899
1990,27,2,0.000801
1990,28,1,0.00109876
1990,28,2,0.000988
1990,29,1,0.00129828
1990,29,2,0.00117628
1990,30,1,0.0014978
1990,30,2,0.0013641
1990,31,1,0.00185888
1990,31,2,0.00170452
1990,32,1,0.00221996
1990,32,2,0.00204494
1990,33,1,0.00258104
1990,33,2,0.00238536
1990,34,1,0.00294212
1990,34,2,0.00272578
1990,35,1,0.0033032
1990,35,2,0.0030662
1990,36,1,0.00414742
1990,36,2,0.00386868
1990,37,1,0.00499164
1990,37,2,0.00467116
1990,38,1,0.00583586
1990,38,2,0.00547364
1990,39,1,0.00668008
1990,39,2,0.00627612
1990,40,1,0.0075243
1990,40,2,0.0070786
1990,41,1,0.00885164
1990,41,2,0.00834318
1990,42,1,0.01017898
1990,42,2,0.00960776
1990,43,1,0.01150632
1990,43,2,0.01087234
1990,44,1,0.01283366
1990,44,2,0.01213692
1990,45,1,0.014161
1990,45,2,0.0134015
1990,46,1,0.01588934
1990,46,2,0.01490032
1990,47,1,0.01761768
1990,47,2,0.01639914
1990,48,1,0.01934602
1990,48,2,0.01789796
1990,49,1,0.02107436
1990,49,2,0.01939678
1990,50,1,0.0228027
1990,50,2,0.0208956
1990,51,1,0.02493204
1990,51,2,0.02262866
1990,52,1,0.02706138
1990,52,2,0.02436172
1990,53,1,0.02919072
1990,53,2,0.02609478
1990,54,1,0.03132006
1990,54,2,0.02782784
1990,55,1,0.0334494
1990,55,2,0.0295609
1990,56,1,0.0361179
1990,56,2,0.0318241
1990,57,1,0.0387864
1990,57,2,0.0340873
1990,58,1,0.0414549
1990,58,2,0.0363505
1990,59,1,0.0441234
1990,59,2,0.0386137
1990,60,1,0.0467919
1990,60,2,0.0408769
1990,61,1,0.04999958
1990,61,2,0.04367026
1990,62,1,0.05320726
1990,62,2,0.04646362
1990,63,1,0.05641494
1990,63,2,0.04925698
1990,64,1,0.05962262
1990,64,2,0.05205034
1990,65,1,0.0628303
1990,65,2,0.0548437
1990,66,1,0.06906226
1990,66,2,0.0601442
1990,67,1,0.07529422
1990,67,2,0.0654447
1990,68,1,0.08152618
1990,68,2,0.0707452
1990,69,1,0.08775814
1990,69,2,0.0760457
1990,70,1,0.0939901
1990,70,2,0.0813462
1990,71,1,0.1032464
1990,71,2,0.08915396
1990,72,1,0.1125027
1990,72,2,0.09696172
1990,73,1,0.121759
1990,73,2,0.10476948
1990,74,1,0.1310153
1990,74,2,0.11257724
1990,75,1,0.1402716
1990,75,2,0.120385
1990,76,1,0.16665386
1990,76,2,0.14031794
1990,77,1,0.19303612
1990,77,2,0.16025088
1990,78,1,0.21941838
1990,78,2,0.18018382
1990,79,1,0.24580064
1990,79,2,0.20011676
1990,80,1,0.2721829
1990,80,2,0.2200497
1990,81,1,0.2721829
1990,81,2,0.2200497
1990,82,1,0.2721829
1990,82,2,0.2200497
1990,83,1,0.2721829
1990,83,2,0.2200497
1990,84,1,0.2721829
1990,84,2,0.2200497
1990,85,1,0.2721829
1990,85,2,0.2200497
1990,86,1,0.2721829
1990,86,2,0.2200497
1990,87,1,0.2721829
1990,87,2,0.2200497
1990,88,1,0.2721829
1990,88,2,0.2200497
1990,89,1,0.2721829
1990,89,2,0.2200497
1990,90,1,0.2721829
1990,90,2,0.2200497
1990,91,1,0.2721829
1990,91,2,0.2200497
1990,92,1,0.2721829
1990,92,2,0.2200497
1990,93,1,0.2721829
1990,93,2,0.2200497
1990,94,1,0.2721829
1990,94,2,0.2200497
1990,95,1,0.2721829
1990,95,2,0.2200497
1990,96,1,0.2721829
1990,96,2,0.2200497
1990,97,1,0.2721829
1990,97,2,0.2200497
1990,98,1,0.2721829
1990,98,2,0.2200497
1990,99,1,0.2721829
1990,99,2,0.2200497
1990,100,1,0.2721829
1990,100,2,0.2200497
1990,101,1,0.2721829
1990,101,2,0.2200497
1990,102,1,0.2721829
1990,102,2,0.2200497
1990,103,1,0.2721829
1990,103,2,0.2200497
1991,1,1,0.000121
1991,1,2,6.13e-05
1991,2,1,0.000115
1991,2,2,5.92e-05
1991,3,1,0.000109
1991,3,2,5.72e-05
1991,4,1,0.000103
1991,4,2,5.52e-05
1991,5,1,9.62e-05
1991,5,2,5.32e-05
1991,6,1,1e-04
1991,6,2,5.79e-05
1991,7,1,0.000104
1991,7,2,6.26e-05
1991,8,1,0.000108
1991,8,2,6.74e-05
1991,9,1,0.000112
1991,9,2,7.21e-05
1991,10,1,0.000116
1991,10,2,7.68e-05
1991,11,1,0.000129
1991,11,2,8.81e-05
1991,12,1,0.000142
1991,12,2,9.93e-05
1991,13,1,0.000155
1991,13,2,0.000111
1991,14,1,0.000169
1991,14,2,0.000122
1991,15,1,0.000182
1991,15,2,0.000133
1991,16,1,0.000208
1991,16,2,0.000156
1991,17,1,0.000234
1991,17,2,0.000179
1991,18,1,0.000259
1991,18,2,0.000203
1991,19,1,0.000285
1991,19,2,0.000226
1991,20,1,0.000311
1991,20,2,0.000249
1991,21,1,0.000349
1991,21,2,0.000284
1991,22,1,0.000387
1991,22,2,0.000319
1991,23,1,0.000425
1991,23,2,0.000355
1991,24,1,0.000463
1991,24,2,0.00039
1991,25,1,0.000501
1991,25,2,0.000425
1991,26,1,0.000702
1991,26,2,0.000613
1991,27,1,0.000902
1991,27,2,0.000801
1991,28,1,0.00110266
1991,28,2,0.000988
1991,29,1,0.00130315
1991,29,2,0.00117628
1991,30,1,0.00150364
1991,30,2,0.0013641
1991,31,1,0.0018665
1991,31,2,0.00170452
