"Year","Age","sex","Mortality_Rate"
1990,1,1,0.00912102
1990,1,2,0.00820845
1990,2,1,0.00727073
1990,2,2,0.006561473
1990,3,1,0.00542044
1990,3,2,0.004914495
1990,4,1,0.00357015
1990,4,2,0.003267518
1990,5,1,0.00171986
1990,5,2,0.00162054
1990,6,1,0.001604838
1990,6,2,0.001499454
1990,7,1,0.001489816
1990,7,2,0.001378368
1990,8,1,0.001374794
1990,8,2,0.001257282
1990,9,1,0.001259772
1990,9,2,0.001136196
1990,10,1,0.00114475
1990,10,2,0.00101511
1990,11,1,0.001207618
1990,11,2,0.00109771
1990,12,1,0.001270486
1990,12,2,0.00118031
1990,13,1,0.001333354
1990,13,2,0.00126291
1990,14,1,0.001396222
1990,14,2,0.00134551
1990,15,1,0.00145909
1990,15,2,0.00142811
1990,16,1,0.001602126
1990,16,2,0.00156233
1990,17,1,0.001745162
1990,17,2,0.00169655
1990,18,1,0.001888198
1990,18,2,0.00183077
1990,19,1,0.002031234
1990,19,2,0.00196499
1990,20,1,0.00217427
1990,20,2,0.00209921
1990,21,1,0.002305302
1990,21,2,0.002206718
1990,22,1,0.002436334
1990,22,2,0.002314226
1990,23,1,0.002567366
1990,23,2,0.002421734
1990,24,1,0.002698398
1990,24,2,0.002529242
1990,25,1,0.00282943
1990,25,2,0.00263675
1990,26,1,0.00299171
1990,26,2,0.002752178
1990,27,1,0.00315399
1990,27,2,0.002867606
1990,28,1,0.00331627
1990,28,2,0.002983034
1990,29,1,0.00347855
1990,29,2,0.003098462
1990,30,1,0.00364083
1990,30,2,0.00321389
1990,31,1,0.003856628
1990,31,2,0.0033823
1990,32,1,0.004072426
1990,32,2,0.00355071
1990,33,1,0.004288224
1990,33,2,0.00371912
1990,34,1,0.004504022
1990,34,2,0.00388753
1990,35,1,0.00471982
1990,35,2,0.00405594
1990,36,1,0.004923956
1990,36,2,0.004196876
1990,37,1,0.005128092
1990,37,2,0.004337812
1990,38,1,0.005332228
1990,38,2,0.004478748
1990,39,1,0.005536364
1990,39,2,0.004619684
1990,40,1,0.0057405
1990,40,2,0.00476062
1990,41,1,0.006154094
1990,41,2,0.005048896
1990,42,1,0.006567688
1990,42,2,0.005337172
1990,43,1,0.006981282
1990,43,2,0.005625448
1990,44,1,0.007394876
1990,44,2,0.005913724
1990,45,1,0.00780847
1990,45,2,0.006202
1990,46,1,0.008378216
1990,46,2,0.006734324
1990,47,1,0.008947962
1990,47,2,0.007266648
1990,48,1,0.009517708
1990,48,2,0.007798972
1990,49,1,0.010087454
1990,49,2,0.008331296
1990,50,1,0.0106572
1990,50,2,0.00886362
1990,51,1,0.01156078
1990,51,2,0.009625154
1990,52,1,0.01246436
1990,52,2,0.010386688
1990,53,1,0.01336794
1990,53,2,0.011148222
1990,54,1,0.01427152
1990,54,2,0.011909756
1990,55,1,0.0151751
1990,55,2,0.01267129
1990,56,1,0.016773464
1990,56,2,0.014189958
1990,57,1,0.018371828
1990,57,2,0.015708626
1990,58,1,0.019970192
1990,58,2,0.017227294
1990,59,1,0.021568556
1990,59,2,0.018745962
1990,60,1,0.02316692
1990,60,2,0.02026463
1990,61,1,0.025357612
1990,61,2,0.022145932
1990,62,1,0.027548304
1990,62,2,0.024027234
1990,63,1,0.029738996
1990,63,2,0.025908536
1990,64,1,0.031929688
1990,64,2,0.027789838
1990,65,1,0.03412038
1990,65,2,0.02967114
1990,66,1,0.03787579
1990,66,2,0.03333128
1990,67,1,0.0416312
1990,67,2,0.03699142
1990,68,1,0.04538661
1990,68,2,0.04065156
1990,69,1,0.04914202
1990,69,2,0.0443117
1990,70,1,0.05289743
1990,70,2,0.04797184
1990,71,1,0.058145264
1990,71,2,0.052901762
1990,72,1,0.063393098
1990,72,2,0.057831684
1990,73,1,0.068640932
1990,73,2,0.062761606
1990,74,1,0.073888766
1990,74,2,0.067691528
1990,75,1,0.0791366
1990,75,2,0.07262145
1990,76,1,0.094961572
1990,76,2,0.088176184
1990,77,1,0.110786544
1990,77,2,0.103730918
1990,78,1,0.126611516
1990,78,2,0.119285652
1990,79,1,0.142436488
1990,79,2,0.134840386
1990,80,1,0.15826146
1990,80,2,0.15039512
1990,81,1,0.15826146
1990,81,2,0.15039512
1990,82,1,0.15826146
1990,82,2,0.15039512
1990,83,1,0.15826146
1990,83,2,0.15039512
1990,84,1,0.15826146
1990,84,2,0.15039512
1990,85,1,0.15826146
1990,85,2,0.15039512
1990,86,1,0.15826146
1990,86,2,0.15039512
1990,87,1,0.15826146
1990,87,2,0.15039512
1990,88,1,0.15826146
1990,88,2,0.15039512
1990,89,1,0.15826146
1990,89,2,0.15039512
1990,90,1,0.15826146
1990,90,2,0.15039512
1990,91,1,0.15826146
1990,91,2,0.15039512
1990,92,1,0.15826146
1990,92,2,0.15039512
1990,93,1,0.15826146
1990,93,2,0.15039512
1990,94,1,0.15826146
1990,94,2,0.15039512
1990,95,1,0.15826146
1990,95,2,0.15039512
1990,96,1,0.15826146
1990,96,2,0.15039512
1990,97,1,0.15826146
1990,97,2,0.15039512
1990,98,1,0.15826146
1990,98,2,0.15039512
1990,99,1,0.15826146
1990,99,2,0.15039512
1990,100,1,0.15826146
1990,100,2,0.15039512
1990,101,1,0.15826146
1990,101,2,0.15039512
1990,102,1,0.15826146
1990,102,2,0.15039512
1990,103,1,0.15826146
1990,103,2,0.15039512
1991,1,1,0.00912052
1991,1,2,0.008213256
1991,2,1,0.007280008
1991,2,2,0.006573224
1991,3,1,0.005439496
1991,3,2,0.004933191
1991,4,1,0.003598984
1991,4,2,0.003293159
1991,5,1,0.001758472
1991,5,2,0.001653126
1991,6,1,0.001641037
1991,6,2,0.001528758
1991,7,1,0.001523602
1991,7,2,0.001404391
1991,8,1,0.001406166
1991,8,2,0.001280023
1991,9,1,0.001288731
1991,9,2,0.001155656
1991,10,1,0.001171296
1991,10,2,0.001031288
1991,11,1,0.001226952
1991,11,2,0.001114528
1991,12,1,0.001282607
1991,12,2,0.001197768
1991,13,1,0.001338263
1991,13,2,0.001281008
1991,14,1,0.001393918
1991,14,2,0.001364248
1991,15,1,0.001449574
1991,15,2,0.001447488
1991,16,1,0.001603976
1991,16,2,0.001636687
1991,17,1,0.001758378
1991,17,2,0.001825886
1991,18,1,0.00191278
