"Year","Age","sex","Mortality_Rate"
1990,1,1,6.73e-05
1990,1,2,6.95e-06
1990,2,1,6.8e-05
1990,2,2,1.73e-05
1990,3,1,6.86e-05
1990,3,2,2.76e-05
1990,4,1,6.93e-05
1990,4,2,3.79e-05
1990,5,1,6.99e-05
1990,5,2,4.82e-05
1990,6,1,8e-05
1990,6,2,4.26e-05
1990,7,1,9.01e-05
1990,7,2,3.69e-05
1990,8,1,1e-04
1990,8,2,3.12e-05
1990,9,1,0.00011
1990,9,2,2.56e-05
1990,10,1,0.00012
1990,10,2,1.99e-05
1990,11,1,0.00023
1990,11,2,7.52e-05
1990,12,1,0.000339
1990,12,2,0.00013
1990,13,1,0.000448
1990,13,2,0.000186
1990,14,1,0.000558
1990,14,2,0.000241
1990,15,1,0.000667
1990,15,2,0.000296
1990,16,1,0.000723
1990,16,2,0.000319
1990,17,1,0.000778
1990,17,2,0.000342
1990,18,1,0.000833
1990,18,2,0.000365
1990,19,1,0.000888
1990,19,2,0.000388
1990,20,1,0.000944
1990,20,2,0.000411
1990,21,1,0.00112
1990,21,2,0.000432
1990,22,1,0.0013
1990,22,2,0.000453
1990,23,1,0.00147
1990,23,2,0.000473
1990,24,1,0.00165
1990,24,2,0.000494
1990,25,1,0.00183
1990,25,2,0.000515
1990,26,1,0.00194
1990,26,2,0.000637
1990,27,1,0.00206
1990,27,2,0.00076
1990,28,1,0.00218
1990,28,2,0.000882
1990,29,1,0.0023
1990,29,2,0.001
1990,30,1,0.00242
1990,30,2,0.00113
1990,31,1,0.00335
1990,31,2,0.00136
1990,32,1,0.00428
1990,32,2,0.00158
1990,33,1,0.00522
1990,33,2,0.00181
1990,34,1,0.00615
1990,34,2,0.00204
1990,35,1,0.00708
1990,35,2,0.00227
1990,36,1,0.00865
1990,36,2,0.00266
1990,37,1,0.0102146
1990,37,2,0.00305
1990,38,1,0.0117804
1990,38,2,0.00343
1990,39,1,0.0133462
1990,39,2,0.00382
1990,40,1,0.014912
1990,40,2,0.00421
1990,41,1,0.0175116
1990,41,2,0.00477
1990,42,1,0.0201112
1990,42,2,0.00533
1990,43,1,0.0227108
1990,43,2,0.00589
1990,44,1,0.0253104
1990,44,2,0.00646
1990,45,1,0.02791
1990,45,2,0.00702
1990,46,1,0.031954
1990,46,2,0.0081
1990,47,1,0.035998
1990,47,2,0.00918
1990,48,1,0.040042
1990,48,2,0.0102656
1990,49,1,0.044086
1990,49,2,0.0113478
1990,50,1,0.04813
1990,50,2,0.01243
1990,51,1,0.0546366
1990,51,2,0.015295
1990,52,1,0.0611432
1990,52,2,0.01816
1990,53,1,0.0676498
1990,53,2,0.021025
1990,54,1,0.0741564
1990,54,2,0.02389
1990,55,1,0.080663
1990,55,2,0.026755
1990,56,1,0.0916678
1990,56,2,0.030376
1990,57,1,0.1026726
1990,57,2,0.033997
1990,58,1,0.1136774
1990,58,2,0.037618
1990,59,1,0.1246822
1990,59,2,0.041239
1990,60,1,0.135687
1990,60,2,0.04486
1990,61,1,0.1552122
1990,61,2,0.055455
1990,62,1,0.1747374
1990,62,2,0.06605
1990,63,1,0.1942626
1990,63,2,0.076645
1990,64,1,0.2137878
1990,64,2,0.08724
1990,65,1,0.233313
1990,65,2,0.097835
1990,66,1,0.2584574
1990,66,2,0.1173472
1990,67,1,0.2836018
1990,67,2,0.1368594
1990,68,1,0.3087462
1990,68,2,0.1563716
1990,69,1,0.3338906
1990,69,2,0.1758838
1990,70,1,0.359035
1990,70,2,0.195396
1990,71,1,0.3859296
1990,71,2,0.22281
1990,72,1,0.4128242
1990,72,2,0.250224
1990,73,1,0.4397188
1990,73,2,0.277638
1990,74,1,0.4666134
1990,74,2,0.305052
1990,75,1,0.493508
1990,75,2,0.332466
1990,76,1,0.6121916
1990,76,2,0.4197116
1990,77,1,0.7308752
1990,77,2,0.5069572
1990,78,1,0.8495588
1990,78,2,0.5942028
1990,79,1,0.9682424
1990,79,2,0.6814484
1990,80,1,1.086926
1990,80,2,0.768694
1990,81,1,1.086926
1990,81,2,0.768694
1990,82,1,1.086926
1990,82,2,0.768694
1990,83,1,1.086926
1990,83,2,0.768694
1990,84,1,1.086926
1990,84,2,0.768694
1990,85,1,1.086926
1990,85,2,0.768694
1990,86,1,1.086926
1990,86,2,0.768694
1990,87,1,1.086926
1990,87,2,0.768694
1990,88,1,1.086926
1990,88,2,0.768694
1990,89,1,1.086926
1990,89,2,0.768694
1990,90,1,1.086926
