"age","ex"
0,65.31199723
1,68.35196887
2,67.83272265
3,67.31347643
4,66.79423022
5,66.274984
6,65.37048807
7,64.46599213
8,63.5614962
9,62.65700027
10,61.75250433
11,60.8098302
12,59.86715608
13,58.92448195
14,57.98180782
15,57.03913369
16,56.11592547
17,55.19271724
18,54.26950902
19,53.34630079
20,52.42309257
21,51.52106554
22,50.61903851
23,49.71701148
24,48.81498445
25,47.91295743
26,47.01337701
27,46.11379659
28,45.21421617
29,44.31463575
30,43.41505533
31,42.52169141
32,41.6283275
33,40.73496359
34,39.84159967
35,38.94823576
36,38.06902582
37,37.18981587
38,36.31060593
39,35.43139599
40,34.55218604
41,33.68986992
42,32.82755381
43,31.96523769
44,31.10292157
45,30.24060546
46,29.41077313
47,28.58094081
48,27.75110848
49,26.92127616
50,26.09144383
51,25.30758402
52,24.52372421
53,23.7398644
54,22.9560046
55,22.17214479
56,21.43476418
57,20.69738357
58,19.96000296
59,19.22262234
60,18.48524173
61,17.81736559
62,17.14948944
63,16.4816133
64,15.81373716
65,15.14586101
66,14.53482147
67,13.92378192
68,13.31274237
69,12.70170283
70,12.09066328
71,11.56000515
72,11.02934701
73,10.49868887
74,9.968030737
75,9.4373726
76,8.973252161
77,8.509131721
78,8.045011282
79,7.580890842
80,7.116770402
81,6.734594038
82,6.352417674
83,5.97024131
84,5.588064946
85,5.205888582
86,4.921448126
87,4.63700767
88,4.352567214
89,4.068126758
90,3.783686302
91,3.581622462
92,3.379558622
93,3.177494783
94,2.975430943
95,2.773367103
96,2.633314575
97,2.493262046
98,2.353209517
99,2.213156989
100,2.07310446
101,1.967441886
102,1.861779311
103,1.756116737
104,1.650454163
105,1.544791589
106,1.502565015
107,1.460338442
108,1.418111868
109,1.375885295
110,1.333658722
